Date,Close/Last,Volume,Open,High,Low,,
2019-08-23,2847.11,--,2911.07,2927.01,2834.97,,
2019-08-22,2922.95,--,2930.94,2939.08,2904.51,,
2019-08-21,2924.43,--,2922.04,2928.73,2917.91,,
2019-08-20,2900.51,--,2919.01,2923.63,2899.6,,
2019-08-19,2923.65,--,2913.48,2931,2913.48,,
2019-08-16,2888.68,--,2864.74,2893.63,2864.74,,
2019-08-15,2847.6,--,2846.2,2856.67,2825.51,,
2019-08-14,2840.6,--,2894.15,2894.15,2839.64,,
2019-08-13,2926.32,--,2880.72,2943.31,2877.05,,
2019-08-12,2883.09,--,2907.07,2907.58,2873.14,,
2019-08-09,2918.65,--,2930.51,2935.75,2900.15,,
2019-08-08,2938.09,--,2896.21,2938.72,2894.47,,
2019-08-07,2883.98,--,2858.65,2892.17,2825.71,,
2019-08-06,2881.77,--,2861.18,2884.4,2847.42,,
2019-08-05,2844.74,--,2898.07,2898.07,2822.12,,
2019-08-02,2932.05,--,2943.9,2945.5,2914.11,,
2019-08-01,2953.56,--,2980.32,3013.59,2945.23,,
2019-07-31,2980.38,--,3016.22,3017.4,2958.08,,
2019-07-30,3013.18,--,3007.66,3017.19,3000.94,,
2019-07-29,3020.97,--,3024.47,3025.61,3014.3,,
2019-07-26,3025.86,--,3013.25,3027.98,3012.59,,
2019-07-25,3003.67,--,3016.26,3016.31,2997.24,,
2019-07-24,3019.56,--,2998.77,3019.59,2996.82,,
2019-07-23,3005.47,--,2994.74,3005.9,2988.56,,
2019-07-22,2985.03,--,2981.93,2990.71,2976.65,,
2019-07-19,2976.61,--,3004.26,3006.02,2975.86,,
2019-07-18,2995.11,--,2978.87,2998.28,2973.09,,
2019-07-17,2984.42,--,3005.1,3005.26,2984.25,,
2019-07-16,3004.04,--,3012.13,3015.02,3001.15,,
2019-07-15,3014.3,--,3017.8,3017.8,3008.77,,
2019-07-12,3013.77,--,3003.36,3013.92,3001.87,,
2019-07-11,2999.91,--,2999.62,3002.33,2988.8,,
2019-07-10,2993.07,--,2989.3,3002.98,2984.62,,
2019-07-09,2979.63,--,2965.52,2981.9,2963.44,,
2019-07-08,2975.95,--,2979.77,2980.76,2970.09,,
2019-07-05,2990.41,--,2984.25,2994.03,2967.97,,
2019-07-03,2995.82,--,2978.08,2995.84,2977.96,,
2019-07-02,2973.01,--,2964.66,2973.21,2955.92,,
2019-07-01,2964.33,--,2971.41,2977.93,2952.22,,
2019-06-28,2941.76,--,2932.94,2943.98,2929.05,,
2019-06-27,2924.92,--,2919.66,2929.3,2918.57,,
2019-06-26,2913.78,--,2926.07,2932.59,2912.99,,
2019-06-25,2917.38,--,2945.78,2946.52,2916.01,,
2019-06-24,2945.35,--,2951.42,2954.92,2944.05,,
2019-06-21,2950.46,--,2952.71,2964.15,2946.87,,
2019-06-20,2954.18,--,2949.6,2958.06,2931.5,,
2019-06-19,2926.46,--,2920.55,2931.74,2911.43,,
2019-06-18,2917.75,--,2906.71,2930.79,2905.44,,
2019-06-17,2889.67,--,2889.75,2897.27,2887.3,,
2019-06-14,2886.98,--,2886.82,2894.45,2879.62,,
